longitude,latitude,comuna
-70.8036344,-33.3503553,Quilicura
-70.8013382,-33.351686,Quilicura
-70.794283,-33.3569411,Quilicura
-70.7879057,-33.3617443,Quilicura
-70.7854681,-33.3635866,Quilicura
-70.7794905,-33.3682844,Quilicura
-70.773242,-33.3730869,Quilicura
-70.7682295,-33.3759183,Quilicura
-70.7639804,-33.378058,Quilicura
-70.7567921,-33.3836634,Quilicura
-70.7560454,-33.3839644,Quilicura
-70.7532559,-33.3846453,Quilicura
-70.7515564,-33.3853261,Quilicura
-70.7509556,-33.3858278,Quilicura
-70.7508011,-33.3865301,Quilicura
-70.7507411,-33.3871035,Quilicura
-70.7504406,-33.3876911,Quilicura
-70.7500802,-33.3883361,Quilicura
-70.749857,-33.3889954,Quilicura
-70.7500287,-33.3896619,Quilicura
-70.7501608,-33.3900047,Quilicura
-70.7501145,-33.3905219,Quilicura
-70.7499514,-33.3907727,Quilicura
-70.749136,-33.39083,Quilicura
-70.7479773,-33.390701,Quilicura
-70.7457028,-33.3897694,Quilicura
-70.7444153,-33.3893394,Quilicura
-70.7431279,-33.3890886,Quilicura
-70.7412825,-33.3893036,Quilicura
-70.7400809,-33.3893036,Quilicura
-70.7389651,-33.3899486,Quilicura
-70.7382784,-33.3908085,Quilicura
-70.7370339,-33.3927792,Quilicura
-70.7364331,-33.3930301,Quilicura
-70.7357464,-33.3928867,Quilicura
-70.7343302,-33.3925643,Quilicura
-70.7320128,-33.3919193,Quilicura
-70.7301812,-33.3920872,Quilicura
-70.7285083,-33.391747,Quilicura
-70.7257901,-33.3916327,Quilicura
-70.7234297,-33.3915968,Quilicura
-70.7210265,-33.3917043,Quilicura
-70.7148896,-33.3915252,Quilicura
-70.7122288,-33.3910594,Quilicura
-70.7110701,-33.3905935,Quilicura
-70.7096968,-33.3890169,Quilicura
-70.708066,-33.3873328,Quilicura
-70.7060919,-33.3856486,Quilicura
-70.7047186,-33.3843228,Quilicura
-70.7034741,-33.3833194,Quilicura
-70.6961785,-33.3824235,Quilicura
-70.6955276,-33.3823082,Quilicura
-70.6952773,-33.381886,Quilicura
-70.6942902,-33.3808826,Quilicura
-70.6938096,-33.3803451,Quilicura
-70.6966935,-33.3739302,Quilicura
-70.6998091,-33.3670705,Quilicura
-70.7001978,-33.3662088,Quilicura
-70.6994146,-33.3660363,Quilicura
-70.6985563,-33.3659657,Quilicura
-70.6981258,-33.3659422,Quilicura
-70.6972246,-33.3659277,Quilicura
-70.6938302,-33.3658997,Quilicura
-70.6931825,-33.3659254,Quilicura
-70.6900497,-33.3661382,Quilicura
-70.6889057,-33.3662189,Quilicura
-70.68936,-33.3653524,Quilicura
-70.6895561,-33.3649073,Quilicura
-70.6896098,-33.3646385,Quilicura
-70.6896433,-33.3641759,Quilicura
-70.6897774,-33.3628766,Quilicura
-70.690239,-33.3611924,Quilicura
-70.6912261,-33.3583463,Quilicura
-70.691844,-33.3564537,Quilicura
-70.6923762,-33.353923,Quilicura
-70.6923966,-33.3538562,Quilicura
-70.6925736,-33.3532777,Quilicura
-70.6929942,-33.3521019,Quilicura
-70.6923161,-33.3517076,Quilicura
-70.6915436,-33.3508114,Quilicura
-70.6902562,-33.349485,Quilicura
-70.688797,-33.3478718,Quilicura
-70.6880675,-33.3465095,Quilicura
-70.6875954,-33.3450755,Quilicura
-70.6875096,-33.3434264,Quilicura
-70.6870375,-33.3422791,Quilicura
-70.6858788,-33.3408451,Quilicura
-70.6844626,-33.3400563,Quilicura
-70.6830893,-33.3398771,Quilicura
-70.6815853,-33.339184,Quilicura
-70.6801281,-33.3379769,Quilicura
-70.6799994,-33.3373315,Quilicura
-70.6807719,-33.3353954,Quilicura
-70.680787,-33.333182,Quilicura
-70.6810445,-33.3319629,Quilicura
-70.681242,-33.3309446,Quilicura
-70.6815873,-33.3304473,Quilicura
-70.6828747,-33.3295868,Quilicura
-70.6836624,-33.3292522,Quilicura
-70.6860934,-33.3286545,Quilicura
-70.6877533,-33.328536,Quilicura
-70.6896137,-33.3275739,Quilicura
-70.6901448,-33.3259249,Quilicura
-70.6902152,-33.3254897,Quilicura
-70.6901011,-33.3246436,Quilicura
-70.6913468,-33.323766,Quilicura
-70.6919916,-33.3237223,Quilicura
-70.6928951,-33.3238254,Quilicura
